semester,course_id,official_lecture_name,official_prof_name,Lecture Name,Professor Name,english,assignments,team_projects,attendance,exams,total_score,etc
2019-2,ICE2003,Probability and Random Processes,Park Hyun Jin,Probability and random process,Park Hyeon-Jin,All of the course are delivered in English,Average,None,Checked randomly,2,4,"The professor is dynamic and uses good examples to explain the material. The last few chapters, however, can get a bit complex."
2019-2,DES2031,Creative Design,Shin Soo Hyun,Creative design,Lee Jin Wook,All of the course are delivered in English,None,Average,Checked every time,None,5,It was a great course and at the end the professor buy pizza for all the classroom ^^
2019-2,KID3012,Early Childhood Curriculum,Sung Ji Hyun,Early Childhood Education curriculum,Jihyun Sung,Korean is mostly used,Average,None,Checked every time,2,2,"she was a kind professor, however, the class was difficult to follow because she would use a lot of korean. I think she used it more than English... it was difficult for me to understand and I did an assignment incorrectly because of this."
2019-2,GEDB030,Computer Programming for Engineers,Cheong Yun Gyung,Computer Programming for Engineers,Jeong Yun-Gyeong,English and Korean are used evenly,Average,Average,Checked every time,2,3,"The lectures are delivered fully in english but the labs fully in korean. The labs help learning the material well if you follow on the screen, though."
2019-2,ICE3014,Multimedia Engineering,Jeon Byeung Woo,Multimedia Engineering,Jeon Byung Woo,All of the course are delivered in English,Average,None,Checked randomly,2,4,
2019-2,ECE5976,Measurement Science,Muhammad Mannan Saeed,Measurement Science,Mannan Muhammad Saeed(마난무함마드),All of the course are delivered in English,Average,None,Checked every time,2,5,"Very good course, with a pretty good work load. Takes effort to learn the subjects and make sure to take notes(for examples especially :P). Attendance is very(!) important (1 missed class = 16% of grade) so make sure you can be there on Wednesdays.
 Revolves around system dynamics, state space models and transfer functions so a basic knowledge of some of these would be recommended beforehand otherwise you might have a hard time."
2019-2,IEC7007,Basic Korean Program,Choi Jue Hee,Basic korean,최주희,English and Korean are used evenly,None,None,Checked every time,More than 2,4,"The professor is super nice, but the material is learned in a strange order: numbers are learned around halfway into the course"
2019-2,GEDB002,Calculus 2,Kwon Sun Hak,Calculus II,Kwon Sun-Hak,All of the course are delivered in English,Average,None,Checked every time,More than 2,3,"The professor explains examples well, however the material can be quite difficult"
2019-2,LAW4021,Introduction to Korean Law,Jang JunHyok,Introduction to Korean Law,장준혁,All of the course are delivered in English,Many,None,Checked randomly,None,1,suck
2019-2,GEDB003,Linear Algebra,Seol Han Guk,Linear Algebra,Jonathan Axtell,All of the course are delivered in English,Average,None,Checked randomly,More than 2,5,"The professor is american so everything is explained in perfect english, and the content is relatively easy to learn"
2019-2,DCF5072,Smart City: Human & Technology,Kim Sungah,Smart City: Human And Technology,김성아,"Most of the course are delivered in English, but Korean is seldomly used.English and Korean are used evenly",None,Average,Checked every time,None,2,"Take this course if you want free time. At least fall 2019 we only had one presentation(group) to do and guest lectures for the rest of the time, with no exams whatsoever. Interesting topics for architecture students I would think, a lot of the presentations revolved around architecture/urban planning. Mostly a discussion class,"
2019-2,BUS2003,Marketing Management,Lee Sunnyoung,Marketing Management,이선녕,All of the course are delivered in English,Average,Average,Checked every time,2,5,Challenging to non native speakers in English.
2019-2,PSD2006,International Political Economy,Kim Nam Kyu,International Political Economy,Nam Kyu Kim,All of the course are delivered in English,None,Average,Checked every time,2,4,Nice and fun professor - Easy to understand.
2019-2,BIZ2022,Introduction to Financial Accounting,Lee Jong Eun,회계원리,이종은,All of the course are delivered in English,Average,None,Checked every time,More than 2,5,So much exercises should be done.
2019-2,IEC7007,Basic Korean Program,Yang Ji Sun,Basic Korean,김승희,English and Korean are used evenly,Average,None,Checked every time,2,5,Professor is so nice.
2019-2,GEC2005,Mathematics for Economics,Song Joon,Mathematics for Economics.,송준,All of the course are delivered in English,Average,Average,Not checked,2,5,So hard! But professor is nice.
2019-2,ECO3018,International Trade Negotiations,Kim Young Han,International Trade Negotiations,Kim Young Han,All of the course are delivered in English,None,None,Not checked,2,5,"Online course, so no physical attendence. Professor speaks slowly and is easy to understand"
2019-2,ECO3018,International Trade Negotiations,Kim Young Han,국제통상론,김영한,All of the course are delivered in English,Average,None,Checked every time,2,5,Understand throughly is the best way to get high score in exam.
2019-2,EME5174,Advanced Design and Manufacturing Engineering,Lee Sang Won,Advanced Design and Manufacturing Engineering,이상원,All of the course are delivered in English,Average,Average,Checked randomly,2,4,"Overall good course. 3-4 assignments throughout with not too huge workload. Though kinda confusing with the difference in topic between the first and second half of the course. Goes from Design theories & methodologies (brainstorm, house of quality etc.) to manufacturing of semiconductors. The design half culminates in a term project where you design a product in a group setting. Whereas the manufacturing half includes a final exam(only 2. half related)"
2019-2,PSD5102,Seminar on US Foreign Policy,Cha Tae Suh,US foreign policy,차태서,All of the course are delivered in English,Average,Average,Not checked,2,5,It was interesting. We studied about US foreign policy and things connected that. Professor’s talk is easy to understand.
2019-2,BUS3045,Business Analytics and Applications,Lee Gun Woong,Business Analytics,Lee Gunwoong,All of the course are delivered in English,Average,Average,Checked every time,1,4,"The prof was very friendly, would show concern over you by asking how was your day. It was a pretty simple and informative course which is worth taking!"
2019-2,BIZ2022,Introduction to Financial Accounting,Choi Young Soo,Introduction to financial accounting,Young-Soo Choi,All of the course are delivered in English,None,None,Not checked,2,1,Online course. Professor's English pronounciation isn't that good... Very hard to understand. Would not recommend it.
2019-2,IEC7007,Basic Korean Program,Ryu Hyun Jung,Basic Korean,유현정,"Most of the course are delivered in English, but Korean is seldomly used.English and Korean are used evenly",Average,None,Checked every time,2,4,"Nice course, with very light workload, one page of light-weight basic Korean homework for each or every second class. If you want to learn Korean though i would suggest a language exchange app or just talking with actual Koreans, since the class is focused mainly on higher formality language(which is nice with people you don't know) but does not teach proper common Korean. That said, it has aided my development in the Korean language and Korean grammar quite a bit."
2019-2,COM3021,Introduction to Distributed Processing,Qureshi Nawab Muhammad,Introduction to distributed processing,Nawab Muhammad Faseeh,All of the course are delivered in English,Average,None,Checked every time,2,3,
2019-2,DSC3008,Practice in Medical Information Systems,Yi Yong Jung,Practice in Medical Information Systems,Yong Jeong Yi,"Most of the course are delivered in English, but Korean is seldomly used.English and Korean are used evenly",Many,Many,Checked every time,2,4,
